"bloco","bairro","região","data","data relativa","concentração","desfile","final","local da concentracao","percurso","público estimado","ano do primeiro desfile"
"Que Merda é Essa?!","Ipanema","Zona Sul","26/02/17","Domingo de Carnaval","2017-02-26T10:00:00-03:00","2017-02-26T14:00:00-03:00","2017-02-26T16:00:00-03:00","Rua Garcia D'avila, esquina com Rua Nascimento Silva","Rua Garcia D'avila, Avenida Vieira Souto, seguindo até a Rua Henrique Dummont","4000","1995"
"10+ Malandros","Bangu","Zona Oeste","26/02/17","Domingo de Carnaval","2017-02-26T12:00:00-03:00","2017-02-26T15:00:00-03:00","2017-02-26T18:00:00-03:00","Rua Bela Flor, 50","Rua Figueiredo Camargo, da Rua Bela Flor até a Rua Cherburgo","1000","2012"
"Bloco das Piranhas do Terreirão da Rua 1","Rocinha","Zona Sul","26/02/17","Domingo de Carnaval","2017-02-26T12:00:00-03:00","2017-02-26T14:00:00-03:00","2017-02-26T18:00:00-03:00","Terreirão da Rua 1","Rua Nova, da Estrada da Gávea até o Largo do Boiadeiro, retornando ao local de concentração","200","1976"
"Bloco do Boi Dormir","Méier","Zona Norte 2","26/02/17","Domingo de Carnaval","2017-02-26T12:00:00-03:00","2017-02-26T16:00:00-03:00","2017-02-26T18:00:00-03:00","Rua Dias da Cruz, 170","Parado","1500","2016"
"Bloco dos Palhacinhos","Brás de Pina","Zona Norte 1","26/02/17","Domingo de Carnaval","2017-02-26T12:00:00-03:00","2017-02-26T14:00:00-03:00","2017-02-26T17:00:00-03:00","Estrada do Quitungo, 1221","Estrada do Quitungo, do no 1221 ate no 1970 e retorna a origem.","800","2011"
"Vem Que Eu Te Abraço","Padre Miguel","Zona Oeste","26/02/17","Domingo de Carnaval","2017-02-26T12:00:00-03:00","2017-02-26T14:00:00-03:00","2017-02-26T17:00:00-03:00","Praça da Rua X","Rua Figueiredo Camargo até altura da Rua Caridade.","1000","2017"
"Folia do Galo","Copacabana","Zona Sul","26/02/17","Domingo de Carnaval","2017-02-26T13:00:00-03:00","2017-02-26T16:00:00-03:00","2017-02-26T19:00:00-03:00","Rua Julio de Castilho  entre Av.Nossa Senhora de Copacabana e Av. Atlântica","PARADO","5000","2009"
"Fome Zero","Madureira","Zona Norte 1","26/02/17","Domingo de Carnaval","2017-02-26T13:00:00-03:00","2017-02-26T15:00:00-03:00","2017-02-26T19:00:00-03:00","Rua Dagmar da Fonseca","Rua Dagmar da Fonseca, Av. Edgard Ramero, Est. Do Portela, e retorna a origem.","800","2009"
"Alegria de Quintino","Quintino","Zona Norte 1","26/02/17","Domingo de Carnaval","2017-02-26T14:00:00-03:00","2017-02-26T17:00:00-03:00","2017-02-26T19:00:00-03:00","Rua Olina, no 19","Rua Olina, Rua Barros Leite, Rua Elias da Silva, seguindo até a Praça de Quintino","500","2005"
"Amigos da Esquina de Madureira - Fla Esquina","Madureira","Zona Norte 1","26/02/17","Domingo de Carnaval","2017-02-26T14:00:00-03:00","2017-02-26T15:00:00-03:00","2017-02-26T20:00:00-03:00","Praça de Magno","PARADO","500","2017"
"Banda Alegria do Recreio","Recreio","Barra/JPA","26/02/17","Domingo de Carnaval","2017-02-26T14:00:00-03:00","2017-02-26T15:00:00-03:00","2017-02-26T20:00:00-03:00","Posto 10 do Recreio","Do Posto 10 do Recreio até o Posto 9","5000","2004"
"Banda do Lidinho","Copacabana","Zona Sul","26/02/17","Domingo de Carnaval","2017-02-26T14:00:00-03:00","2017-02-26T15:00:00-03:00","2017-02-26T19:00:00-03:00","Praça do Lido","Praça do Lido - Parado","1000","2013"
"Banda Sá Ferreira","Copacabana","Zona Sul","26/02/17","Domingo de Carnaval","2017-02-26T14:00:00-03:00","2017-02-26T16:00:00-03:00","2017-02-26T20:00:00-03:00","Rua Sá Ferreira entre Av. Nossa Senhora de Copacabana e Rua Bulhões de Carvalho","Rua Sá Ferreira, Rua Bulhões de Carvalho, Rua Francisco Otaviano, Av. Atlântica (area de lazer) até altura da Rua Sá Ferreira.","10000","1940"
"Batalha dos Blocos","Recreio","Barra/JPA","26/02/17","Domingo de Carnaval","2017-02-26T14:00:00-03:00","2017-02-26T17:00:00-03:00","2017-02-26T18:00:00-03:00","Praia do Recreio Posto 10","Parado","3000","2017"
"Bloco Afro Zimbauê da Ilha","Ilha do Governador","Zona Norte 3","26/02/17","Domingo de Carnaval","2017-02-26T14:00:00-03:00","2017-02-26T16:00:00-03:00","2017-02-26T18:00:00-03:00","Rua Magno Martins em frente a Praia)","Segue pela Praia da Guanabara e Pça Nossa Senhora da Ajuda.","900","2017"
"Estrelinhas da Penha","Penha","Zona Norte 1","26/02/17","Domingo de Carnaval","2017-02-26T14:00:00-03:00","2017-02-26T16:00:00-03:00","2017-02-26T20:00:00-03:00","Rua Aimoré 180","PARADO","500","2013"
"Fanfarani","Botafogo","Zona Sul","26/02/17","Domingo de Carnaval","2017-02-26T14:00:00-03:00","2017-02-26T16:00:00-03:00","2017-02-26T21:00:00-03:00","Praça Chaim Weizman","Praça Chaim Weizman - Parado","1000","2009"
"Gladiadores de Copacabana","Copacabana","Zona Sul","26/02/17","Domingo de Carnaval","2017-02-26T14:00:00-03:00","2017-02-26T16:00:00-03:00","2017-02-26T19:00:00-03:00","Avenida Atlântica, esquina com Rua Constante Ramos","Avenida Atlântica, da Rua Constante Ramos até a Rua Hilário de Gouveia","1000","2009"
"Marcha Nerd","Tijuca","Tijuca e Adj","26/02/17","Domingo de Carnaval","2017-02-26T14:00:00-03:00","2017-02-26T15:00:00-03:00","2017-02-26T18:00:00-03:00","Praça Xavier de Brito","Praça Xavier de Brito - Parado","1500","2013"
"Pragradar as Criancinhas","Rocinha","Zona Sul","26/02/17","Domingo de Carnaval","2017-02-26T14:00:00-03:00","2017-02-26T16:00:00-03:00","2017-02-26T20:00:00-03:00","Rua 1, esquina com Estrada da Gávea (altura do no 250)","Rua 1, esquina com Estrada da Gávea (altura do no 250) - Parado","600","2000"
"Pressão Alta","Piedade","Zona Norte 2","26/02/17","Domingo de Carnaval","2017-02-26T14:00:00-03:00","2017-02-26T17:00:00-03:00","2017-02-26T20:00:00-03:00","Rua Ferreira de Sampaio, esquina com Av. Dom Hélder Câmara","Av. Dom Hélder Câmara, da Rua Ferreira de Sampaio ao no 7427, retornando ao local de concentração","1500","2005"
"Quem Me Viu Mentiu","Ilha do Governador","Zona Norte 3","26/02/17","Domingo de Carnaval","2017-02-26T14:00:00-03:00","2017-02-26T16:00:00-03:00","2017-02-26T20:00:00-03:00","Praça Jerusalem","Segue pela Praia da Bica Av. Alm. Alves Câmara Junior até o numero 986","1000","2017"
"Simpatia é Quase Amor","Ipanema","Zona Sul","26/02/17","Domingo de Carnaval","2017-02-26T14:00:00-03:00","2017-02-26T16:00:00-03:00","2017-02-26T20:00:00-03:00","Praça General Osório","Rua Teixeira de Melo e Avenida Vieira Souto até a Henrique Dumont","100000","1985"
"Vem Comigo","Vila Kosmos","Zona Norte 1","26/02/17","Domingo de Carnaval","2017-02-26T14:00:00-03:00","2017-02-26T18:00:00-03:00","2017-02-26T19:00:00-03:00","Rua Itacambira c/Av. Meriti","Rua Alecrim, Rua Itacambira com Rua Imbiaça.","1500",""
"Afoxé Filhos de Gandhi","Saúde","Centro","26/02/17","Domingo de Carnaval","2017-02-26T15:00:00-03:00","2017-02-26T17:00:00-03:00","2017-02-26T19:00:00-03:00","Praça da Harmonia","Rua Sacadura Cabral, Rua Camerino e Praça dos Estivadores","600","1951"
"Baile do Guri","Taquara","Barra/JPA","26/02/17","Domingo de Carnaval","2017-02-26T15:00:00-03:00","2017-02-26T15:00:00-03:00","2017-02-26T21:00:00-03:00","Praça da Merck","Parado","200","2017"
"Banda da Amizade","Lapa","Centro","26/02/17","Domingo de Carnaval","2017-02-26T15:00:00-03:00","2017-02-26T18:00:00-03:00","2017-02-26T23:00:00-03:00","Rua Tadeu Kosciusco","Rua Tadeu Kosciusko, Rua Carlos Sampaio, Rua Washington Luiz, Rua Conselheiro Josino, Av. Henrique Valadares, Praça da Cruz Vermelha, Rua Carlos Sampaio e Rua Tadeu Kosciusko","1000","1988"
"Banda do Limãozinho","Brás de Pina","Zona Norte 1","26/02/17","Domingo de Carnaval","2017-02-26T15:00:00-03:00","2017-02-26T15:00:00-03:00","2017-02-26T19:00:00-03:00","Conjunto Guaporé","Parado","200","2017"
"Bonecas Deslumbradas de Olaria","Olaria","Zona Norte 3","26/02/17","Domingo de Carnaval","2017-02-26T15:00:00-03:00","2017-02-26T17:00:00-03:00","2017-02-26T21:00:00-03:00","Rua Conselheiro Paulino, no 567","Rua Conselheiro Paulino, Rua Antônio Rêgo, Rua Lígia, Rua Wandelkok e Rua Conselheiro Paulino","5000","1977"
"É do Pandeiro!","Laranjeiras","Zona Sul","26/02/17","Domingo de Carnaval","2017-02-26T15:00:00-03:00","2017-02-26T15:00:00-03:00","2017-02-26T20:00:00-03:00","Praça São Salvador","Praça São Salvador - Parado","1000","2000"
"Furukuteu","Riachuelo","Zona Norte 2","26/02/17","Domingo de Carnaval","2017-02-26T15:00:00-03:00","2017-02-26T17:00:00-03:00","2017-02-26T21:00:00-03:00","Rua Francisco Bernardino","Rua Francisco Bernardino, Rua Magalhães Castro, Rua Flack, Rua Magalhães Castro e Rua Francisco Bernardino","200","2008"
"Os Imóveis","Copacabana","Zona Sul","26/02/17","Domingo de Carnaval","2017-02-26T15:00:00-03:00","2017-02-26T15:00:00-03:00","2017-02-26T20:00:00-03:00","Rua Souza Lima, em frente ao no 121","Rua Souza Lima, em frente ao no 121 - Parado","200","2006"
"Porre Certo","Praça Seca","Barra/JPA","26/02/17","Domingo de Carnaval","2017-02-26T15:00:00-03:00","2017-02-26T17:00:00-03:00","2017-02-26T19:00:00-03:00","Rua Carimã, esquina com Rua Parintins","Rua Parintins, Rua Florianópolis, Rua Urucuia, Rua Luiz Beltrão, Rua Parintins e Rua Carimã","500","2003"
"Terremoto","Piedade","Zona Norte 2","26/02/17","Domingo de Carnaval","2017-02-26T15:00:00-03:00","2017-02-26T17:00:00-03:00","2017-02-26T20:00:00-03:00","Rua Padre Manoel da Nóbrega","Rua Padre Manoel da Nóbrega, Avenida Dom Helder Câmara, Rua João Pinheiro, Rua Tereza Cavalcanti, Rua Bernardino de Campos, Avenida Dom Helder Câmara e Rua Padre Manoel da Nóbrega","2500","1978"
"Turbilhão Carioca","Lagoa","Zona Sul","26/02/17","Domingo de Carnaval","2017-02-26T15:00:00-03:00","2017-02-26T15:00:00-03:00","2017-02-26T22:00:00-03:00","Parque dos Patins","Parque dos Patins - Parado","2500","2009"
"Ai, Que Vergonha!","São Conrado","Zona Sul","26/02/17","Domingo de Carnaval","2017-02-26T16:00:00-03:00","2017-02-26T17:00:00-03:00","2017-02-26T21:00:00-03:00","Avenida Prefeito Mendes de Moraes, em frente ao Posto 12","Avenida Prefeito Mendes de Moraes, Avenida Aquarela do Brasil e Rua Berta Lutz","1000","2006"
"Badalo de Santa Teresa","Santa Teresa","Centro","26/02/17","Domingo de Carnaval","2017-02-26T16:00:00-03:00","2017-02-26T17:00:00-03:00","2017-02-26T21:00:00-03:00","Rua Paschoal Carlos Magno","Largo dos Guimarães, Rua Paschoal Carlos Magno, Rua Monte Alegre, Rua Oriente, Rua Progresso e Largo das Neves","3000","1972"
"Banda da Glória","Glória","Zona Sul","26/02/17","Domingo de Carnaval","2017-02-26T16:00:00-03:00","2017-02-26T17:00:00-03:00","2017-02-26T22:00:00-03:00","Rua da Glória, esquina com Rua Candido Mendes","Rua da Glória, esquina com Rua Candido Mendes - Parado","650","1974"
"Banda da Inválidos","Lapa","Centro","26/02/17","Domingo de Carnaval","2017-02-26T16:00:00-03:00","2017-02-26T18:00:00-03:00","2017-02-26T22:00:00-03:00","Rua dos Inválidos, entre Av. Mem de Sá e Henrique Valadares","Rua dos Inválidos, Rua do Senado, Rua Ubaldino do Amaral, Rua do Rezende, Rua dos Inválidos","1000","1976"
"Bloco do Pente","Ilha do Governador","Zona Norte 3","26/02/17","Domingo de Carnaval","2017-02-26T16:00:00-03:00","2017-02-26T18:00:00-03:00","2017-02-26T21:00:00-03:00","Praça dos Bancários","Praça dos Bancários, Av. das Enxadas, Praia dos Bancários","200","2012"
"Boi de Anchieta","Anchieta","Zona Norte 1","26/02/17","Domingo de Carnaval","2017-02-26T16:00:00-03:00","2017-02-26T18:00:00-03:00","2017-02-26T22:00:00-03:00","Praça Nazaré","Praça Nazaré, Rua Motorista Luís de Abreu, Avenida Nazaré, Rua Motorista Luís de Abreu e Praça nazaré","1000","1990"
"Cachorro Cansado","Flamengo","Zona Sul","26/02/17","Domingo de Carnaval","2017-02-26T16:00:00-03:00","2017-02-26T17:00:00-03:00","2017-02-26T22:00:00-03:00","Praça José de Alencar","Praça José de Alencar, Rua Marquês de Abrantes, Rua Marquês de Paraná, Rua Senador Vergueiro, Rua Barão do Flamengo e Praça José de Alencar","10000","1987"
"Choppinho da Paula Freitas com Boca Maldita","Copacabana","Zona Sul","26/02/17","Domingo de Carnaval","2017-02-26T16:00:00-03:00","2017-02-26T17:00:00-03:00","2017-02-26T22:00:00-03:00","Rua Paula Freitas, esquina com Avenida Atlântica","Rua Paula Freitas, Rua Barata Ribeiro, Rua Siqueira Campos, Avenida Atlântica, até a Rodolfo Dantas, retornando pela Avenida Atlântica, até a Rua Paula Freitas","2000","1994"
"Do Vinil ao K7","Madureira","Zona Norte 1","26/02/17","Domingo de Carnaval","2017-02-26T16:00:00-03:00","2017-02-26T16:00:00-03:00","2017-02-26T22:00:00-03:00","Quiosque Bella Carioca (Parque de Madureira)","PARADO","800","2010"
"Foliões de Botafogo","Botafogo","Zona Sul","26/02/17","Domingo de Carnaval","2017-02-26T16:00:00-03:00","2017-02-26T18:00:00-03:00","2017-02-26T22:00:00-03:00","Praça Mauro Duarte","Praça Mauro Duarte, Rua Fernandes Guimarães, Rua Arnaldo Quintela, Rua da Passagem, Rua Álvaro Ramos, Rua Oliveira Fausto, Rua Arnaldo Quintela, Rua Fernandes Guimarães e Praça Mauro Duarte","2000","2006"
"Império da Folia","Catete","Zona Sul","26/02/17","Domingo de Carnaval","2017-02-26T16:00:00-03:00","2017-02-26T17:00:00-03:00","2017-02-26T22:00:00-03:00","Rua Bento Lisboa, no 76","Rua Bento Lisboa, Rua Dois de Dezembro, Rua do Catete, Rua Pedro Américo e Rua Bento Lisboa até a esquina da Tavares Bastos","600","2003"
"Mau Mau de Bangu","Bangu","Zona Oeste","26/02/17","Domingo de Carnaval","2017-02-26T16:00:00-03:00","2017-02-26T19:00:00-03:00","2017-02-26T22:00:00-03:00","Rua Acanto, esquina com Rua Ajuará","Rua Acanto, Rua Ajuará, Rua Minuanos, Rua Imaruí, Rua da Fábrica, Rua dos Açudes, Rua Oliveira Ribeiro, Rua Bangu, Rua Santa Cecília e Praça da Fé","600","1997"
"Perereca do Grajaú","Grajaú","Tijuca e Adj","26/02/17","Domingo de Carnaval","2017-02-26T16:00:00-03:00","2017-02-26T18:00:00-03:00","2017-02-26T21:00:00-03:00","Praça Edmundo Rego","Avenida Engenheiro Richard, atravessa a Barão do Bom do Bom Retiro, Rua Teodoro da Silva, Rua José Vicente, Rua Meira de Vasconcelos, Rua Farias de Brito e Largo do Verdun","3500","1977"
"Piranhas da Senador Nabuco","Vila Isabel","Tijuca e Adj","26/02/17","Domingo de Carnaval","2017-02-26T16:00:00-03:00","2017-02-26T18:00:00-03:00","2017-02-26T22:00:00-03:00","Praça Barão de Drummond","Boulevard 28 de Setembro, da Praça Barão de Drummond até esquina com Rua Visconde de Abaeté, retornando pelo Boulevard 28 de Setembro, Rua Luis Barbosa, Rua Torres Homem e Praça Noel Rosa","800","1980"
"Pragradar da Rocinha","Rocinha","Zona Sul","26/02/17","Domingo de Carnaval","2017-02-26T16:00:00-03:00","2017-02-26T18:00:00-03:00","2017-02-26T22:00:00-03:00","Estrada da Gavea 250","Estrada da Gavea até o Caminho do Boiadeiro. Dispersão na Pça Aílton Rosa, Via Ápia","1500","2000"
"Toca Rauuul!","Centro","Centro","26/02/17","Domingo de Carnaval","2017-02-26T16:00:00-03:00","2017-02-26T16:00:00-03:00","2017-02-26T20:00:00-03:00","Praça Tiradentes","Praça Tiradentes - Parado","3000","2012"
"Xodó da Piedade","Piedade","Zona Norte 2","26/02/17","Domingo de Carnaval","2017-02-26T16:00:00-03:00","2017-02-26T18:00:00-03:00","2017-02-26T22:00:00-03:00","Rua Silvana, esquina com Rua Mario Carpenter","Rua Silvana, Rua Mario Carpenter, Rua Leopoldina, Rua João Pinheiro, Av. Dom Helder Camara, Rua Ferreira Sampaio, Rua Ernesto Nunes, Rua Mario Carpenter e Rua Silvana","1200","1972"
"Banda da Conceição","Saúde","Centro","26/02/17","Domingo de Carnaval","2017-02-26T17:00:00-03:00","2017-02-26T19:00:00-03:00","2017-02-26T22:00:00-03:00","Largo São Francisco da Prainha","Rua São Francisco da Prainha, Pedra do Sal, Rua João da Bola, Ladeira João homem, Rua Sacadura Cabral e retorno a origem.","500","2008"
"Bloco da Coroinha","Pedra de Guaratiba","Zona Oeste","26/02/17","Domingo de Carnaval","2017-02-26T17:00:00-03:00","2017-02-26T19:00:00-03:00","2017-02-26T21:00:00-03:00","Rua Barros de Alarcão - Praça São Pedro","Rua Barros de Alarcão, da Praça São Pedro até a Rua Saião Lobato","1000","2012"
"Coração das Crianças","Rocinha","Zona Sul","26/02/17","Domingo de Carnaval","2017-02-26T17:00:00-03:00","2017-02-26T18:00:00-03:00","2017-02-26T20:00:00-03:00","Rua Nova (antiga Rua 4), esquina com Estrada da Gávea","Rua Nova, da Estrada da Gávea até o Largo do Boiadeiro, retornando ao local de concentração","1000","1978"
"Passa Régua de Bangu","Bangu","Zona Oeste","26/02/17","Domingo de Carnaval","2017-02-26T17:00:00-03:00","2017-02-26T19:00:00-03:00","2017-02-26T22:00:00-03:00","Rua Boiobi 1993","Rua Boiobi, Rua Banguense, Rua Rangel Pestana, Rua Silva Cardoso, Rua Santa Cecilia e Praça da Fé","2000","2017 (1975)"
"Sorriso de Criança","Brás de Pina","Zona Norte 1","26/02/17","Domingo de Carnaval","2017-02-26T17:00:00-03:00","2017-02-26T19:00:00-03:00","2017-02-26T21:00:00-03:00","Rua Pequiri, 277","Rua Pequiri, Rua Carbonita, Rua Guaporé, seguindo até a Castro Menezes, voltando pela Rua Guaporé, Rua Carbonita e Rua Pequiri (Praça 12)","1200","2007"
"TPM - Turma da Paz de Madureira","Madureira","Zona Norte 1","26/02/17","Domingo de Carnaval","2017-02-26T17:00:00-03:00","2017-02-26T19:00:00-03:00","2017-02-26T21:00:00-03:00","Em frente ao Império Serrano","Segue a Estrada do Portela até antes do Shopping Madureira.","3000","2012"
"Vai Tomar no Azul","Brás de Pina","Zona Norte 1","26/02/17","Domingo de Carnaval","2017-02-26T17:00:00-03:00","2017-02-26T18:00:00-03:00","2017-02-26T21:00:00-03:00","Rua Pacheco Júnior, no 5","Rua Pacheco Júnior, Rua Almirante Ingran, Estrada do Quitungo, Rua Cabo Rocha, Rua Engenheiro Francelino Mota e Rua Pacheco Júnior","800","2012"
"Caldeirão do Coqueiro","Santíssimo","Zona Oeste","26/02/17","Domingo de Carnaval","2017-02-26T18:00:00-03:00","2017-02-26T21:00:00-03:00","2017-02-26T22:00:00-03:00","Praça do Coqueiro","Praça do Coqueiro - Parado","800","2011"
"Queima de Bangu","Bangu","Zona Oeste","26/02/17","Domingo de Carnaval","2017-02-26T18:00:00-03:00","2017-02-26T20:00:00-03:00","2017-02-26T22:00:00-03:00","Rua Agricola, esquina com Rua Francisco Real","Rua Agrícola, Rua Santa Cecília, seguindo até a Praça da Fé","1000","2010"
"Raízes da Vila da Penha","Vila da Penha","Zona Norte 1","26/02/17","Domingo de Carnaval","2017-02-26T18:00:00-03:00","2017-02-26T19:00:00-03:00","2017-02-26T23:00:00-03:00","Rua São João Gualberto","Rua São João Gualberto, Rua General Silveira Sobrinho, Av. Brás de Pina, Rua Oliveira Belo, Rua da Coragem, Rua Alice Tibiriça e Rua São João Gualberto","1500","1996"
"Toma Uma","Paquetá","Centro","26/02/17","Domingo de Carnaval","2017-02-26T18:00:00-03:00","2017-02-26T19:00:00-03:00","2017-02-26T22:00:00-03:00","Praia da Moreninha","Praia da Moreninha, Rua Doutor Lacerda, Praia José Bonifácio, Praça Furquim Werneck e Praça Pintor Pedro Bruno","400","2005"
"Bloco do Boi ""Só Falta Você!""","Pedra de Guaratiba","Zona Oeste","26/02/17","Domingo de Carnaval","2017-02-26T19:00:00-03:00","2017-02-26T21:00:00-03:00","2017-02-26T23:00:00-03:00","Rua Barros de Alarcão - Praça São Pedro","Rua Barros de Alarcão, da Praça São Pedro até a Rua Saião Lobato","1000","2008"
"Amigos do Zé","Cosmos","Zona Oeste","26/02/17","Domingo de Carnaval","2017-02-26T20:00:00-03:00","2017-02-26T22:00:00-03:00","2017-02-26T23:00:00-03:00","Rua Beira Rio, em frente ao no 1305","Rua Beira Rio, Rua Independência, Rua Itagiba, Rua Curare, Praça dos Escolares e Rua Cosmos","500","2013"
"Confetes e Serpentinas","Pedra de Guaratiba","Zona Oeste","26/02/17","Domingo de Carnaval","2017-02-26T20:00:00-03:00","2017-02-26T20:00:00-03:00","2017-02-26T23:00:00-03:00","Praça Dr. Raul Capello Barrozo","Parado","800","2017"
"Bloco Virtual","Leme","Zona Sul","27/02/17","Segunda-feira de Carnaval","2017-02-27T07:00:00-03:00","2017-02-27T09:00:00-03:00","2017-02-27T13:00:00-03:00","Avenida Atlântica - Posto 1 - no Calçadão","Avenida Atlântica, saindo do posto 1 até a Praça Almirante Julio de Noronha, onde permanece parado","20000","2000"
"Corre Atrás","Leblon","Zona Sul","27/02/17","Segunda-feira de Carnaval","2017-02-27T07:00:00-03:00","2017-02-27T09:00:00-03:00","2017-02-27T13:00:00-03:00","Rua Dias Ferreira, entre a Avenida Bartolomeu Mitre e a Rua General Urquiza","Rua Dias Ferreira, da Rua General Urquiza até a Avenida Ataulfo de Paiva, até a Rainha Gulhermina","10000","2006"
"Afroreggae","Centro","Centro","27/02/17","Segunda-feira de Carnaval","2017-02-27T08:00:00-03:00","2017-02-27T10:00:00-03:00","2017-02-27T14:00:00-03:00","Rua  Primeiro de Março esquina com Rua Buenos Aires","Rua Primeiro de Março, seguindo até a Av. Presidente Antonio Carlos até a Rua Araújo Porto Alegre, onde encerra","100000","2006"
"Samba de Santa Clara","Barra da Tijuca","Barra/JPA","27/02/17","Segunda-feira de Carnaval","2017-02-27T08:00:00-03:00","2017-02-27T10:00:00-03:00","2017-02-27T13:00:00-03:00","Avenida do Pepê, em frente à Avenida Érico Veríssimo","Avenida do Pepê, da Avenida Érico Veríssimo até a Avenida Olegário Maciel","25000","2016"
"Sargento Pimenta","Aterro","Zona Sul","27/02/17","Segunda-feira de Carnaval","2017-02-27T08:00:00-03:00","2017-02-27T10:00:00-03:00","2017-02-27T14:00:00-03:00","Aterro do Flamengo, entre o Mam e a Marina da Glória","Aterro do Flamengo, entre o Mam e a Marina da Glória - Parado","180000","2011"
"Banda do Jorge","Centro","Centro","27/02/17","Segunda-feira de Carnaval","2017-02-27T09:00:00-03:00","2017-02-27T11:00:00-03:00","2017-02-27T14:00:00-03:00","Praça Mario Lago","Parado","1000","2011"
"Largo do Machadinho, Mas Não Largo do Suquinho","Catete","Zona Sul","27/02/17","Segunda-feira de Carnaval","2017-02-27T09:00:00-03:00","2017-02-27T09:00:00-03:00","2017-02-27T15:00:00-03:00","Largo do Machado","Largo do Machado - Parado","1200","2011"
"Polvo da Ilha","Ribeira","Zona Norte 3","27/02/17","Segunda-feira de Carnaval","2017-02-27T09:00:00-03:00","2017-02-27T11:00:00-03:00","2017-02-27T15:00:00-03:00","Praça Iaiá Garcia","Praça Iaiá Garcia, Rua Maldonado, Estrada do Rio Jequiá, Rua Serrão, Rua Peixoto de Carvalho, Praia do Zumbi, Rua Paramopama e Praça Iaiá Garcia","2000","2005"
"Carvalho em Pé","Botafogo","Zona Sul","27/02/17","Segunda-feira de Carnaval","2017-02-27T10:00:00-03:00","2017-02-27T12:00:00-03:00","2017-02-27T16:00:00-03:00","Rua Visconde de Caravelas, em frente ao no 22","Rua Visconde de Caravelas, em frente ao no 22 - Parado","500","2011"
"Inimigos da Bebida","Cocotá","Zona Norte 3","27/02/17","Segunda-feira de Carnaval","2017-02-27T10:00:00-03:00","2017-02-27T11:00:00-03:00","2017-02-27T15:00:00-03:00","Praça Comandante Nelson Megé","Rua Capitão Barbosa, Rua Altinópolis, Praia da Bandeira, Rua Aquilão e Praça Comandante Nelson Megé","1000","2012"
"Nova Geração do Zumbi","Zumbi","Zona Norte 3","27/02/17","Segunda-feira de Carnaval","2017-02-27T10:00:00-03:00","2017-02-27T11:00:00-03:00","2017-02-27T15:00:00-03:00","Rua Serrão, esquina com Rua Peixoto de Carvalho","Rua Peixoto de Carvalho, Estrada do Rio Jequiá, Rua Maldonado, Rua Fernandes da Fonseca, Rua Paramopama, Praia do Jequiá e Parque Almirante Souza e Melo","1000","2010"
"Banda Clube Nobre do Bairro Peixoto","Copacabana","Zona Sul","27/02/17","Segunda-feira de Carnaval","2017-02-27T11:00:00-03:00","2017-02-27T11:00:00-03:00","2017-02-27T15:00:00-03:00","Av. Atlântica, esquina com Rua Siqueira Campos","Parado","1000","1997"
"Dinossauros Nacionais","Centro","Centro","27/02/17","Segunda-feira de Carnaval","2017-02-27T12:00:00-03:00","2017-02-27T14:00:00-03:00","2017-02-27T18:00:00-03:00","Largo de São Francisco","Largo de São Francisco - Parado","1500","2013"
"Sem Noção","Lapa","Centro","27/02/17","Segunda-feira de Carnaval","2017-02-27T12:00:00-03:00","2017-02-27T14:00:00-03:00","2017-02-27T17:00:00-03:00","Rua dos Arcos, em frente a Fundição Progresso","Rua dos Arcos, Rua do Lavradio, Rua do Senado, Rua dos Inválidos, Rua da Relação até Av. Gomes Freire","3000","2010"
"Filhos da Martins","Lapa","Centro","27/02/17","Segunda-feira de Carnaval","2017-02-27T13:00:00-03:00","2017-02-27T15:00:00-03:00","2017-02-27T17:00:00-03:00","Rua Carlos de Carvalho","Rua Carlos de Carvalho, Rua Ubaldino do Amaral, Rua do Senado, Rua do Lavradio e termino na Praça Cardeal Câmara (Arcos)","200","2007"
"Isbarra","Barra da Tijuca","Barra/JPA","27/02/17","Segunda-feira de Carnaval","2017-02-27T13:00:00-03:00","2017-02-27T15:00:00-03:00","2017-02-27T19:00:00-03:00","Avenida Lúcio Costa, em frente a Av. Érico Veríssimo","Avenida Lúcio Costa, seguindo pela Avenida do Pepê até a Avenida Olegário Maciel","10000","2010"
"Seca Copo","Ilha do Governador","Zona Norte 3","27/02/17","Segunda-feira de Carnaval","2017-02-27T13:00:00-03:00","2017-02-27T15:00:00-03:00","2017-02-27T19:00:00-03:00","Rua Monjolos 546","Rua Monjolos, Praia da Pitangueiras, Rua Formosa, Est. Rio Jequiá, Rua Monjolos e volta a concentração","600","2009"
"Afoxé Raízes Africanas","Copacabana","Zona Sul","27/02/17","Segunda-feira de Carnaval","2017-02-27T14:00:00-03:00","2017-02-27T17:00:00-03:00","2017-02-27T20:00:00-03:00","Avenida Atlântica, altura do Posto 6","Avenida Atlântica, do Posto 6 ao Posto 4","3000","2007"
"Afoxé Ylê Alá","Copacabana","Zona Sul","27/02/17","Segunda-feira de Carnaval","2017-02-27T14:00:00-03:00","2017-02-27T16:00:00-03:00","2017-02-27T19:00:00-03:00","Avenida Atlântica, esquina com Rua Santa Clara","Avenida Atlântica, da Rua Santa Clara a Rua Prado Junior","1000","2013"
